qacc	staxids	sacc	evalue	bitscore	qcovus	pident	length	TaxID	candidate_rank
0191681120840e940a5629f6f9c23e63	900007	NR_130691	1.5	20.2	46	76.667	30	900007	1
026c5263ced8f41669b14f7ee3ab05a6	900001	NR_121481	0.000725	31.0	37	88.462	26	900001	1
040c1e07de80d76e56f1d8b0b573ca34	900001	NR_121481	0.009000000000000001	26.5	54	84.615	26	900001	1
04a58f1fa63710803570b8b5e2d3733e	900001	NR_121481	1.7e-05	36.5	61	82.927	41	900001	1
05d6255f92dbd4b2b793b809c524de21	900010	NR_130667	0.42	22.0	45	85.714	21	900010	1
05dcbd64ea8517b09449bf3ddd4a83dd	900008	NR_111475	0.035	25.6	53	85.714	21	900008	1
061f5ddd4c902be6adec1f0e62e8f2f4	900010	NR_130667	0.035	24.7	31	100.0	13	900010	1
06a0c0a16a03d41b0e21de876ccd4a1a	900002	NR_171785	0.035	24.7	50	82.609	23	900002	1
0adfbaa4d24ec21c5bd7da91cc36bf83	900009	NR_111007	4.81e-89	313.0	100	100.0	173	900009	1
0b16710fc341de52d3db3a987523142b	900001	NR_121481	1.2699999999999998e-64	233.0	91	94.23100000000001	156	900001	1
0d7f1fa221989e0cc733a52a1d979bfa	900005	NR_130690	0.028999999999999998	25.6	45	82.14299999999999	28	900005	1
0f501f42f168efedff8209067a2ccc06	900002	NR_171785	0.035	25.6	38	77.419	31	900002	1
0f8830963d0007509b4256e7708c4537	900009	NR_111007	1.5	20.2	59	92.30799999999999	13	900009	1
0fd1d727176f466547928eba1e93d32c	900008	NR_111475	0.01	27.4	50	72.581	62	900008	1
0fdc8bc75eb918dcdf72a96e854a694e	900002	NR_171785	0.003	28.3	54	68.367	98	900002	1
12ae8aec67f6e9580e434bbd62c83dcd	900005	NR_130690	1.2	20.2	34	93.333	15	900005	1
12c2997f0d90a475f5ebdb10a5bc0738	900009	NR_111007	0.12	23.8	55	93.333	15	900009	1
12da108a541069a69ac639ae2edcd700	900006	NR_125332	5.349999999999999e-75	267.0	100	99.333	150	900006	1
168e27f59b5437d613141aaa2f916072	900009	NR_111007	0.13	22.0	84	77.778	27	900009	1
16abe59764bca0b5a4207799f0194527	900002	NR_171785	0.42	21.1	45	100.0	11	900002	1
19781955f7dc8059d72ca67fe69742f4	900002	NR_171785	0.42	22.0	38	79.167	24	900002	1
1a3a25327947f82ebb909ce5f5832571	900009	NR_111007	3.470000000000001e-21	88.7	86	83.90799999999999	87	900009	1
1a947799bb1e2fa52ae4560b796f282e	900007	NR_130691	2.0399999999999993e-87	308.0	100	99.42200000000001	173	900007	1
1aa1322a555933d26756115adcdd8306	900004	NR_077145	0.12	23.8	53	79.31	29	900004	1
