qacc	staxids	sacc	evalue	bitscore	qcovus	pident	length	TaxID	candidate_rank
0067abbe4f3ec2c8b1f93f21dab22215	900001	NR_121481	1.4599999999999996e-110	386.0	100	93.258	267	900001	1
0067abbe4f3ec2c8b1f93f21dab22215	900004	NR_077145	1.6699999999999997e-103	361.0	100	90.977	266	900004	2
0067abbe4f3ec2c8b1f93f21dab22215	900003	NR_144900	2.18e-32	126.0	76	77.714	175	900003	3
0067abbe4f3ec2c8b1f93f21dab22215	900006	NR_125332	5.47e-21	87.8	49	90.76899999999999	65	900006	4
0067abbe4f3ec2c8b1f93f21dab22215	900007	NR_130691	8.120000000000001e-19	80.6	64	92.59299999999999	54	900007	5
013a0b22fa2570a9fca2281d979c43ce	900002	NR_171785	5.91e-21	87.8	74	78.182	110	900002	1
013a0b22fa2570a9fca2281d979c43ce	900008	NR_111475	4.54e-16	72.5	53	83.58200000000001	67	900008	2
013a0b22fa2570a9fca2281d979c43ce	900006	NR_125332	1.58e-15	69.8	59	88.679	53	900006	3
013a0b22fa2570a9fca2281d979c43ce	900010	NR_130667	2.35e-13	62.6	57	83.051	59	900010	4
013a0b22fa2570a9fca2281d979c43ce	900007	NR_130691	8.209999999999999e-13	61.7	56	86.275	51	900007	5
01517fb3b2efbc8638ba652cff74ea45	900007	NR_130691	1.4e-30	121.0	48	89.88799999999999	89	900007	1
01517fb3b2efbc8638ba652cff74ea45	900002	NR_171785	4.88e-30	119.0	45	89.773	88	900002	2
01517fb3b2efbc8638ba652cff74ea45	900003	NR_144900	1.7000000000000001e-29	116.0	55	88.764	89	900003	3
01517fb3b2efbc8638ba652cff74ea45	900001	NR_121481	1.7000000000000001e-29	116.0	52	88.764	89	900001	4
01517fb3b2efbc8638ba652cff74ea45	900009	NR_111007	1.7000000000000001e-29	116.0	38	88.764	89	900009	5
01b9bca264d99ceaedcce67eeee0c285	900001	NR_121481	5.79e-40	150.0	63	89.565	115	900001	1
01b9bca264d99ceaedcce67eeee0c285	900004	NR_077145	2.9999999999999996e-37	142.0	59	88.696	115	900004	2
01b9bca264d99ceaedcce67eeee0c285	900003	NR_144900	3.66e-36	138.0	53	87.82600000000001	115	900003	3
01b9bca264d99ceaedcce67eeee0c285	900009	NR_111007	4.45e-35	134.0	53	95.34899999999999	86	900009	4
01b9bca264d99ceaedcce67eeee0c285	900007	NR_130691	1.8899999999999996e-33	129.0	59	93.023	86	900007	5
01f7633d99821e693602dae45808d71c	900002	NR_171785	2.4300000000000003e-20	86.0	49	92.98200000000001	57	900002	1
01f7633d99821e693602dae45808d71c	900007	NR_130691	1.0300000000000001e-18	80.6	46	92.59299999999999	54	900007	2
01f7633d99821e693602dae45808d71c	900006	NR_125332	5.349999999999999e-16	71.6	45	88.889	54	900006	3
01f7633d99821e693602dae45808d71c	900006	NR_125332	1.87e-15	69.8	45	100.0	38	900006	4
01f7633d99821e693602dae45808d71c	900010	NR_130667	1.87e-15	69.8	49	86.20700000000001	58	900010	5
02a08e7b3d2d977945313b9fb5d6cccc	900009	NR_111007	4.74e-05	35.6	45	100.0	19	900009	1
02a08e7b3d2d977945313b9fb5d6cccc	900001	NR_121481	4.74e-05	35.6	32	100.0	19	900001	2
02a08e7b3d2d977945313b9fb5d6cccc	900006	NR_125332	4.74e-05	35.6	32	100.0	19	900006	3
02a08e7b3d2d977945313b9fb5d6cccc	900010	NR_130667	4.74e-05	35.6	30	100.0	19	900010	4
02a08e7b3d2d977945313b9fb5d6cccc	900005	NR_130690	4.74e-05	35.6	30	100.0	19	900005	5
02c332c3221a7fc18460f12ac0111d82	900007	NR_130691	3.2799999999999995e-32	125.0	45	91.01100000000001	89	900007	1
02c332c3221a7fc18460f12ac0111d82	900002	NR_171785	1.14e-31	123.0	42	90.90899999999999	88	900002	2
02c332c3221a7fc18460f12ac0111d82	900003	NR_144900	1.39e-30	121.0	61	89.88799999999999	89	900003	3
02c332c3221a7fc18460f12ac0111d82	900001	NR_121481	1.39e-30	121.0	55	89.88799999999999	89	900001	4
02c332c3221a7fc18460f12ac0111d82	900009	NR_111007	1.39e-30	121.0	47	89.88799999999999	89	900009	5
03adce78e88ff12a6e2bd982b4276941	900007	NR_130691	0.0	717.0	95	100.0	397	900007	1
03adce78e88ff12a6e2bd982b4276941	900009	NR_111007	9.33e-84	297.0	65	93.564	202	900009	2
