ASV	BLAST_Top1_Accession	BLAST_Top1_TaxID	BLAST_Top1_Evalue	BLAST_Top1_Bitscore	BLAST_Top1_Pident	BLAST_Top1_Qcovus	BLAST_Top1_AlignmentLength	BLAST_AmbiguousTopHit	BLAST_SelectionStatus	BLAST_Top1_Kingdom	BLAST_Top1_Phylum	BLAST_Top1_Class	BLAST_Top1_Order	BLAST_Top1_Family	BLAST_Top1_Genus	BLAST_Top1_Species	BLAST_Top2_Accession	BLAST_Top2_Species	BLAST_Top2_Evalue	BLAST_Top2_Bitscore	BLAST_Top2_Pident	BLAST_Top2_Qcovus	BLAST_Top2_AlignmentLength
00b0c1b2dd29f6dde895345a89eab2d4	NR_171785	900002	1.99e-19	83.3	77.273	73	110	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_111475	Malassezia_globosa	3.5899999999999997e-16	72.5	83.58200000000002	55	67
00ee2a2c090f05308822650762e66a5b	NR_130691	900007	2.48e-32	125.0	91.011	45	89	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	NR_171785	Cryptococcus_neoformans	8.66e-32	123.0	90.909	43	88
010b07e3b6da2a38547e45cd063dd63d	NR_130667	900010	8.979999999999995e-119	412.0	100.0	100	228	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_171785	Cryptococcus_neoformans	7.4e-25	100.0	71.795	84	195
01bb26a8a1751eb3c5b4b7ecb7e47993	NR_130691	900007	2.48e-32	125.0	91.011	63	89	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	NR_171785	Cryptococcus_neoformans	8.66e-32	123.0	90.909	45	88
031b9c6bdcad084cb3a095a0d198cebd	NR_111007	900009	6.66e-08	44.6	100.0	56	24	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	NR_130691	Nakaseomyces_glabratus	6.66e-08	44.6	100.0	44	24
034dd71309f0853471154f43bc02abd1	NR_121481	900001	9.89e-06	37.4	100.0	53	20	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_130690	Fusarium_keratoplasticum	9.89e-06	37.4	100.0	49	20
04054fce3ae97d78e67d2d454985add2	NR_121481	900001	9.89e-06	37.4	100.0	56	20	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_077145	Penicillium_chrysogenum	9.89e-06	37.4	100.0	53	20
04afb5de4ef391d0ab8c50f4bfe0e962	NR_121481	900001	2.82e-06	39.2	100.0	45	21	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_111007	Saccharomyces_cerevisiae	2.82e-06	39.2	100.0	43	21
05697bc7833ce61e4a0e0ca5e59744b4	NR_171785	900002	5.690000000000001e-20	85.1	89.06200000000003	62	64	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_130667	Cutaneotrichosporon_dermatis	6.93e-19	81.5	89.06200000000003	69	64
05b496404be4e237c87028a88f649e1a	NR_121481	900001	0.00042	31.9	100.0	46	17	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	NR_130691	Nakaseomyces_glabratus	0.00042	31.9	100.0	45	17
0768181f519364a9439b4901c0812f7d	NR_130691	900007	2.48e-32	125.0	91.011	51	89	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	NR_171785	Cryptococcus_neoformans	8.66e-32	123.0	90.909	45	88
091b9ab07282fb2810730607e7c73a6b	NR_125332	900006	0.000127	31.9	100.0	76	17	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_albicans	NR_130691	Nakaseomyces_glabratus	0.000127	31.9	100.0	48	17
0ae1e837235a2579609ba6290feae7d9	NR_130691	900007	1.0499999999999999e-30	121.0	89.88799999999998	51	89	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	NR_171785	Cryptococcus_neoformans	3.68e-30	119.0	89.773	45	88
0b670ea5bad69a636e48836a55475086	NR_130691	900007	2.48e-32	125.0	91.011	47	89	False	candidate_available	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	NR_171785	Cryptococcus_neoformans	8.66e-32	123.0	90.909	40	88
0b9eb13a7db8bebd0a71d05bfce5f411	NR_171785	900002	5.67e-20	85.1	89.06200000000003	55	64	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	NR_130667	Cutaneotrichosporon_dermatis	6.9e-19	81.5	89.06200000000003	61	64
0d2054ad18668ff06200cd375bad78fc	NR_130667	900010	1.9599999999999998e-19	82.4	90.0	59	60	False	candidate_available	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_111475	Malassezia_globosa	1.01e-16	73.4	86.667	59	60
0d2a77295862dea2a5fc3940be192278	NR_077145	900004	0.001	30.1	100.0	44	16	False	candidate_available	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_144900	Trichophyton_interdigitale	0.001	30.1	100.0	43	16
