metric	taxonomy_method	Method	mean_value	sd_value	n	se_value
F1-score	UNITE	ITSx_PE	0.5297619047619047	0.04439868289343287	12	0.012816795760094151
F1-score	UNITE	ITSx_SE	0.5357142857142856	0.04483185103291764	12	0.012941840631062101
F1-score	UNITE	Cutadapt_PE	0.4825036075036075	0.017302689019829603	12	0.004994856081651502
F1-score	UNITE	Cutadapt_SE	0.5277777777777777	0.047751535964184605	12	0.01378468107157004
F1-score	UNITE+RefSeq BLAST	ITSx_PE	0.7917372482589874	0.059332520150077325	12	0.01712782324017302
F1-score	UNITE+RefSeq BLAST	ITSx_SE	0.818288474810214	0.0544680776123847	12	0.01572357963587587
F1-score	UNITE+RefSeq BLAST	Cutadapt_PE	0.6520104050538833	0.02880266226888425	12	0.0083146124071591
F1-score	UNITE+RefSeq BLAST	Cutadapt_SE	0.6839377141913374	0.058863142034677365	12	0.016992325449534076
R²	UNITE	ITSx_PE	0.1891979919130274	0.013045381116140066	12	0.003765877149542364
R²	UNITE	ITSx_SE	0.18924389536571834	0.013066392629000173	12	0.003771942650845296
R²	UNITE	Cutadapt_PE	0.18714743699156539	0.014139458890298174	12	0.004081710198254649
R²	UNITE	Cutadapt_SE	0.18844493528535586	0.01317567763261022	12	0.003803490513971621
R²	UNITE+RefSeq BLAST	ITSx_PE	0.28871366053109715	0.017273086028785935	12	0.004986310434227562
R²	UNITE+RefSeq BLAST	ITSx_SE	0.2889353081893509	0.017152146186143215	12	0.0049513981088748
R²	UNITE+RefSeq BLAST	Cutadapt_PE	0.27749919534566386	0.018426439802718356	12	0.0053192549901529395
R²	UNITE+RefSeq BLAST	Cutadapt_SE	0.284534233203111	0.017336411631961948	12	0.005004590961247695
Bray–Curtis	UNITE	ITSx_PE	0.6162585722065461	0.009203624302200822	12	0.0026568574841979134
Bray–Curtis	UNITE	ITSx_SE	0.6163016937280735	0.00918561885623803	12	0.0026516597596611645
Bray–Curtis	UNITE	Cutadapt_PE	0.6177003690377648	0.009538574918494896	12	0.0027535493984392205
Bray–Curtis	UNITE	Cutadapt_SE	0.6174938027194301	0.00969649392572712	12	0.002799136689107062
Bray–Curtis	UNITE+RefSeq BLAST	ITSx_PE	0.5142221484610948	0.009167644220842116	12	0.0026464709293689565
Bray–Curtis	UNITE+RefSeq BLAST	ITSx_SE	0.5142364074799798	0.009156574009514605	12	0.0026432752346239943
Bray–Curtis	UNITE+RefSeq BLAST	Cutadapt_PE	0.5155550924235375	0.009553801740518654	12	0.00275794500333638
Bray–Curtis	UNITE+RefSeq BLAST	Cutadapt_SE	0.5154549059673597	0.009716078890223875	12	0.0028047903813691977
Precision	UNITE	ITSx_PE	0.5113636363636364	0.039364791081110836	12	0.01136363636363636
Precision	UNITE	ITSx_SE	0.5151515151515151	0.04034660748175428	12	0.011647062345239502
Precision	UNITE	Cutadapt_PE	0.4671717171717172	0.032032814935824834	12	0.009247077163049967
Precision	UNITE	Cutadapt_SE	0.5012626262626263	0.04886572734900106	12	0.014106320419546311
Precision	UNITE+RefSeq BLAST	ITSx_PE	0.741938616938617	0.0683407159358448	12	0.019728265371085872
Precision	UNITE+RefSeq BLAST	ITSx_SE	0.7831002331002331	0.06291999014979983	12	0.01816343662519777
Precision	UNITE+RefSeq BLAST	Cutadapt_PE	0.5513736263736264	0.041228544494216174	12	0.011901655631016085
Precision	UNITE+RefSeq BLAST	Cutadapt_SE	0.5696262479350714	0.06332265342052522	12	0.018279675499070808
Recall	UNITE	ITSx_PE	0.55	0.05222329678670934	12	0.015075567228888179
Recall	UNITE	ITSx_SE	0.5583333333333333	0.05149286505444371	12	0.014864709750264077
Recall	UNITE	Cutadapt_PE	0.5	0	12	0
Recall	UNITE	Cutadapt_SE	0.5583333333333333	0.05149286505444371	12	0.014864709750264077
Recall	UNITE+RefSeq BLAST	ITSx_PE	0.8500000000000001	0.05222329678670934	12	0.015075567228888179
Recall	UNITE+RefSeq BLAST	ITSx_SE	0.8583333333333334	0.05149286505444371	12	0.014864709750264077
Recall	UNITE+RefSeq BLAST	Cutadapt_PE	0.8	0	12	0
Recall	UNITE+RefSeq BLAST	Cutadapt_SE	0.8583333333333334	0.05149286505444371	12	0.014864709750264077
FDR	UNITE	ITSx_PE	0.48863636363636365	0.039364791081110836	12	0.01136363636363636
FDR	UNITE	ITSx_SE	0.4848484848484848	0.04034660748175429	12	0.011647062345239505
FDR	UNITE	Cutadapt_PE	0.5328282828282829	0.03203281493582484	12	0.009247077163049969
FDR	UNITE	Cutadapt_SE	0.49873737373737376	0.0488657273490011	12	0.014106320419546322
FDR	UNITE+RefSeq BLAST	ITSx_PE	0.25806138306138304	0.06834071593584479	12	0.01972826537108587
FDR	UNITE+RefSeq BLAST	ITSx_SE	0.2168997668997669	0.06291999014979982	12	0.018163436625197767
FDR	UNITE+RefSeq BLAST	Cutadapt_PE	0.44862637362637364	0.04122854449421617	12	0.011901655631016084
FDR	UNITE+RefSeq BLAST	Cutadapt_SE	0.43037375206492856	0.0633226534205252	12	0.018279675499070804
