ASV	raw_hit_count	strict_cutoff_pass_hit_count	retained_top_n_count	selection_status
0191681120840e940a5629f6f9c23e63	114	114	5	candidate_available
026c5263ced8f41669b14f7ee3ab05a6	92	92	5	candidate_available
040c1e07de80d76e56f1d8b0b573ca34	98	98	5	candidate_available
04a58f1fa63710803570b8b5e2d3733e	98	98	5	candidate_available
05d6255f92dbd4b2b793b809c524de21	97	97	5	candidate_available
05dcbd64ea8517b09449bf3ddd4a83dd	130	130	5	candidate_available
061f5ddd4c902be6adec1f0e62e8f2f4	93	93	5	candidate_available
06a0c0a16a03d41b0e21de876ccd4a1a	137	137	5	candidate_available
0adfbaa4d24ec21c5bd7da91cc36bf83	109	109	5	candidate_available
0b16710fc341de52d3db3a987523142b	135	135	5	candidate_available
0d7f1fa221989e0cc733a52a1d979bfa	83	83	5	candidate_available
0f501f42f168efedff8209067a2ccc06	98	98	5	candidate_available
0f8830963d0007509b4256e7708c4537	103	103	5	candidate_available
0fd1d727176f466547928eba1e93d32c	117	117	5	candidate_available
0fdc8bc75eb918dcdf72a96e854a694e	84	84	5	candidate_available
12ae8aec67f6e9580e434bbd62c83dcd	89	89	5	candidate_available
12c2997f0d90a475f5ebdb10a5bc0738	99	99	5	candidate_available
12da108a541069a69ac639ae2edcd700	96	96	5	candidate_available
168e27f59b5437d613141aaa2f916072	43	43	5	candidate_available
16abe59764bca0b5a4207799f0194527	76	76	5	candidate_available
19781955f7dc8059d72ca67fe69742f4	88	88	5	candidate_available
1a3a25327947f82ebb909ce5f5832571	102	102	5	candidate_available
1a947799bb1e2fa52ae4560b796f282e	112	112	5	candidate_available
1aa1322a555933d26756115adcdd8306	108	108	5	candidate_available
1b0e91eb4d0ab35ac3472b26d4207b8d	95	95	5	candidate_available
1dca3eeb6a114d7c75d945b4c787c3c6	132	132	5	candidate_available
1f2562bcd89888cd5dc1ecfc90af6ca5	80	80	5	candidate_available
20737c9d81433cafb2c8d460c8527fc2	120	120	5	candidate_available
221ef287399115b8dae38548c41a71d1	80	80	5	candidate_available
22a3bd58cea56c64d6c04ce292d4536f	106	106	5	candidate_available
22e6624e26f54bfb3113b73634ac85ed	70	70	5	candidate_available
2502cb3a6108ac2eaa7d36cba4a08694	124	124	5	candidate_available
287262dba4d69007a0d2f229a8d6e234	107	107	5	candidate_available
29672ac01b5c6750735fed1907ddd347	74	74	5	candidate_available
29ef50e61eafd8ec49fa6292da0e3dca	113	113	5	candidate_available
2a03599d48e1a5883a372e8a8261d445	84	84	5	candidate_available
2b3947738a14174fa55da284e5156ce1	68	68	5	candidate_available
2ce0943ee52455e0ef499cf2ef2d4e04	127	127	5	candidate_available
2cf4c915f873b95edee25be8e58fb36c	123	123	5	candidate_available
2d783fc0a24c9350fd6e4c008ade61f1	118	118	5	candidate_available
2e73001a9be64e290563c8eec53be808	170	170	5	candidate_available
2f9d7e8bea9501d87407a5e5a59bf89b	83	83	5	candidate_available
30c66d5481541d89952d4ca5765d73bc	87	87	5	candidate_available
31fe6db9ce878dc354cb87b45c498d9e	152	152	5	candidate_available
