ASV	staxids	BLAST_Accession	BLAST_Evalue	BLAST_Bitscore	BLAST_Qcovus	BLAST_Pident	BLAST_AlignmentLength	BLAST_TaxID	BLAST_CandidateRank	BLAST_Kingdom	BLAST_Phylum	BLAST_Class	BLAST_Order	BLAST_Family	BLAST_Genus	BLAST_Species	selection_status
00b0c1b2dd29f6dde895345a89eab2d4	900002	NR_171785	1.99e-19	83.3	73	77.273	110	900002	1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
00b0c1b2dd29f6dde895345a89eab2d4	900008	NR_111475	3.5899999999999997e-16	72.5	55	83.58200000000002	67	900008	2	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	candidate_available
00b0c1b2dd29f6dde895345a89eab2d4	900006	NR_125332	1.25e-15	69.8	49	88.679	53	900006	3	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_albicans	candidate_available
00b0c1b2dd29f6dde895345a89eab2d4	900010	NR_130667	1.86e-13	62.6	53	83.051	59	900010	4	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	candidate_available
00b0c1b2dd29f6dde895345a89eab2d4	900007	NR_130691	6.490000000000001e-13	61.7	42	86.275	51	900007	5	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	candidate_available
00ee2a2c090f05308822650762e66a5b	900007	NR_130691	2.48e-32	125.0	45	91.011	89	900007	1	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	candidate_available
00ee2a2c090f05308822650762e66a5b	900002	NR_171785	8.66e-32	123.0	43	90.909	88	900002	2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
00ee2a2c090f05308822650762e66a5b	900001	NR_121481	3.02e-31	123.0	58	90.0	90	900001	3	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	candidate_available
00ee2a2c090f05308822650762e66a5b	900003	NR_144900	3.02e-31	123.0	52	90.0	90	900003	4	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton_interdigitale	candidate_available
00ee2a2c090f05308822650762e66a5b	900009	NR_111007	1.0499999999999999e-30	121.0	51	89.88799999999998	89	900009	5	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	candidate_available
010b07e3b6da2a38547e45cd063dd63d	900010	NR_130667	8.979999999999995e-119	412.0	100	100.0	228	900010	1	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	candidate_available
010b07e3b6da2a38547e45cd063dd63d	900002	NR_171785	7.4e-25	100.0	84	71.795	195	900002	2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_neoformans	candidate_available
010b07e3b6da2a38547e45cd063dd63d	900008	NR_111475	2.42e-18	79.7	63	88.525	61	900008	3	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	candidate_available
