metric	taxonomy_method	Method	mean_value	sd_value	n	se_value
F1-score	UNITE+BLAST	ITSx_PE	0.5979515653428696	0.048175642844156694	12	0.013907110182228568
F1-score	UNITE+BLAST	ITSx_SE	0.6061076604554866	0.04222966847744252	12	0.012190655231620048
F1-score	UNITE+BLAST	Cutadapt_PE	0.5820628646715603	0.04147155583285764	12	0.011971806961906476
F1-score	UNITE+BLAST	Cutadapt_SE	0.595896856766422	0.03798605339969388	12	0.01096562907788238
F1-score	UNITE	ITSx_PE	0.532142857142857	0.04749442567297956	12	0.013710459723650712
F1-score	UNITE	ITSx_SE	0.5414862914862913	0.04074403435352231	12	0.011761789600938733
F1-score	UNITE	Cutadapt_PE	0.4825036075036075	0.017302689019829603	12	0.004994856081651502
F1-score	UNITE	Cutadapt_SE	0.5313852813852813	0.0421282512714564	12	0.012161378606031774
R²	UNITE+BLAST	ITSx_PE	0.18786168381669177	0.013179229552394846	12	0.003804515864893518
R²	UNITE+BLAST	ITSx_SE	0.18788031933096855	0.013183849357755338	12	0.00380584948782776
R²	UNITE+BLAST	Cutadapt_PE	0.1865720731695933	0.0143496781823406	12	0.0041423952806794225
R²	UNITE+BLAST	Cutadapt_SE	0.18712888452925938	0.013260240974808898	12	0.0038279018481626116
R²	UNITE	ITSx_PE	0.18610021368437302	0.013024004832943204	12	0.0037597063481133734
R²	UNITE	ITSx_SE	0.18612089693916437	0.013030712558029057	12	0.0037616427015553567
R²	UNITE	Cutadapt_PE	0.18476556533743901	0.014140638699807159	12	0.004082050779923452
R²	UNITE	Cutadapt_SE	0.18540766326538619	0.0130802573096981	12	0.0037759450394118845
Bray–Curtis	UNITE+BLAST	ITSx_PE	0.6143415228741949	0.009252428831545844	12	0.002670946138275424
Bray–Curtis	UNITE+BLAST	ITSx_SE	0.6144082847742317	0.009247809790530427	12	0.0026696127359885995
Bray–Curtis	UNITE+BLAST	Cutadapt_PE	0.6154967231446474	0.009468532189171772	12	0.0027333298041244797
Bray–Curtis	UNITE+BLAST	Cutadapt_SE	0.6155138567392712	0.009716062456850208	12	0.0028047856374628422
Bray–Curtis	UNITE	ITSx_PE	0.6162415821987596	0.009282300513136619	12	0.002679569349979214
Bray–Curtis	UNITE	ITSx_SE	0.6163048791993353	0.009277919092794018	12	0.0026783045428720974
Bray–Curtis	UNITE	Cutadapt_PE	0.6175163298859233	0.009445973282567936	12	0.0027268176087243056
Bray–Curtis	UNITE	Cutadapt_SE	0.6173964989153358	0.009685086339253404	12	0.00279584360254636
Precision	UNITE+BLAST	ITSx_PE	0.5542443667443667	0.048322293660600445	12	0.013949444626403908
Precision	UNITE+BLAST	ITSx_SE	0.5561868686868687	0.04024736224411766	12	0.011618412712906857
Precision	UNITE+BLAST	Cutadapt_PE	0.5278749028749029	0.039969007783752966	12	0.011538058701596013
Precision	UNITE+BLAST	Cutadapt_SE	0.5449689199689199	0.03314079310946518	12	0.00956692291145371
Precision	UNITE	ITSx_PE	0.5159090909090909	0.04621268572116031	12	0.01334045327054374
Precision	UNITE	ITSx_SE	0.5189393939393939	0.03604370277721631	12	0.01040492075050835
Precision	UNITE	Cutadapt_PE	0.4671717171717172	0.032032814935824834	12	0.009247077163049967
Precision	UNITE	Cutadapt_SE	0.5075757575757576	0.03794759590621462	12	0.010954527355776076
Recall	UNITE+BLAST	ITSx_PE	0.6499999999999999	0.05222329678670934	12	0.015075567228888179
Recall	UNITE+BLAST	ITSx_SE	0.6666666666666666	0.049236596391733084	12	0.014213381090374027
Recall	UNITE+BLAST	Cutadapt_PE	0.6499999999999999	0.05222329678670934	12	0.015075567228888179
Recall	UNITE+BLAST	Cutadapt_SE	0.6583333333333333	0.05149286505444371	12	0.014864709750264077
Recall	UNITE	ITSx_PE	0.55	0.05222329678670934	12	0.015075567228888179
Recall	UNITE	ITSx_SE	0.5666666666666667	0.049236596391733084	12	0.014213381090374027
Recall	UNITE	Cutadapt_PE	0.5	0	12	0
Recall	UNITE	Cutadapt_SE	0.5583333333333333	0.05149286505444371	12	0.014864709750264077
FDR	UNITE+BLAST	ITSx_PE	0.4457556332556333	0.04832229366060043	12	0.013949444626403903
FDR	UNITE+BLAST	ITSx_SE	0.4438131313131313	0.04024736224411764	12	0.01161841271290685
FDR	UNITE+BLAST	Cutadapt_PE	0.47212509712509715	0.03996900778375295	12	0.011538058701596007
FDR	UNITE+BLAST	Cutadapt_SE	0.45503108003108006	0.03314079310946516	12	0.009566922911453703
FDR	UNITE	ITSx_PE	0.48409090909090907	0.0462126857211603	12	0.013340453270543739
FDR	UNITE	ITSx_SE	0.481060606060606	0.036043702777216316	12	0.010404920750508351
FDR	UNITE	Cutadapt_PE	0.5328282828282829	0.03203281493582484	12	0.009247077163049969
FDR	UNITE	Cutadapt_SE	0.49242424242424243	0.037947595906214625	12	0.010954527355776077
